"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2052","Etfb",-0.089011799277392,10.9578383989947,-0.839867363811008,0.415199534827822,0.609577146192086,-5.37588928407586
"2475","Yars2",-0.0683384838177163,5.25205162288702,-1.0554199639684,0.309238463061922,0.551810316735255,-5.37619526524116
"2060","Dnajb11",-0.07906099905047,6.61078878712288,-1.07991369206388,0.298568279661929,0.540783788441524,-5.37630030521808
"2848","Ppp3r1",-0.0841130364419085,5.8977378718756,-1.07854487691275,0.299157290132472,0.541063063984747,-5.37732313021732
"2502","Mlycd",-0.0933414414149851,7.77282099751631,-1.0174283700987,0.326337823710759,0.567141106104406,-5.37838665997184
"1535","Acacb",0.105443556797749,5.89165939731004,1.0768524715186,0.299886733781106,0.542119698404294,-5.37870441776551
"2450","Acot13",-0.0919877000795983,7.22052424556298,-1.05175723818487,0.310857844892301,0.552850088129091,-5.37874805885272
"2500","Gstm1",-0.0813589034461994,11.1160871801872,-0.826380220075886,0.422551289955496,0.614246092446988,-5.37930896106563
"1516","Ptcd3",0.0766482388442027,5.85031470897036,1.07448359674542,0.300909953597997,0.542917765481549,-5.38021151710063
"2449","Dad1",-0.0773476011795209,6.92543296751968,-1.06528384940805,0.304908213659098,0.547748970928496,-5.38035304646648
"383","Plin3",0.110428086159896,8.42083098823158,0.974389367068519,0.346521199199874,0.581598366294946,-5.38039700983486
"3147","Pef1",-0.0981110822013553,5.48489900384438,-1.0614835954232,0.306571208230711,0.549173077278867,-5.38155989512126
"1287","Eif3g",0.0718049698504286,7.01937076305443,1.05888581552216,0.307711833969336,0.550401665648074,-5.38218005563581
"1254","Fhit",0.115955697544061,4.22779822529105,0.974113856334962,0.346653191804515,0.581598366294946,-5.38293629667905
"2684","Hacl1",-0.0837482618623948,9.71948799822041,-0.896092125641215,0.385464192191279,0.587815757568557,-5.38396881910442
"2265","Prkaa2",-0.071200252742925,3.58712955578052,-0.907781248007753,0.379467781303689,0.587815757568557,-5.38437071835128
"2323","Psmc4",-0.0752882921287759,8.02608164050206,-0.994884855619757,0.336801778455491,0.577264021567652,-5.38446287350392
"90","Hbb-bs",0.145073496686976,9.02682242954813,0.931293219807154,0.367600362335237,0.587815757568557,-5.38552160597215
"712","Pdzk1",0.0966939096055235,9.53820087829937,0.902632899020445,0.382100947241392,0.587815757568557,-5.38626283986711
"1025","Tcea3",0.0871464179886328,4.72243610190467,1.00920307922903,0.330128258479725,0.570541105974451,-5.3867424001646
"868","Vcl",0.0768837718762381,10.974242062927,0.823175464547084,0.424310572685456,0.614958263992355,-5.3877391446187
"579","Tpd52l2",0.0936683492894019,8.25310300335497,0.975543292285,0.345968759089519,0.581598366294946,-5.38894178880932
"1002","Mtmr10",0.0740197157111209,3.68799322107537,0.911566192986073,0.377539863856966,0.587815757568557,-5.38940946039596
"1602","AMBP",0.123951868806066,7.47869073948346,1.02376822940172,0.323437755118221,0.565824524718988,-5.39009826756429
"919","Sart1",0.0825920590746705,6.32772953938391,1.06785955389316,0.30378486936416,0.546256703919272,-5.39154056905411
"2423","Apex1",-0.0730552077192499,5.20641078812999,-1.03484628249979,0.31841515179823,0.559625123193405,-5.39341484411221
"1653","Grn",0.0969404137806835,7.18799405720988,1.0375949714753,0.317177770280848,0.558502177574719,-5.3939485970208
"1285","Ankrd46",0.0912303771947651,3.67771568415693,0.905090909325981,0.380842227830258,0.587815757568557,-5.39407099322432
"1712","Ogt",0.0810213588267623,2.42212623447057,0.931414133702351,0.367540002460655,0.587815757568557,-5.39446797341137
"1630","Otud4",0.0833711146657983,4.87021072408116,1.01132399028527,0.329147868018598,0.569373953342645,-5.39461111757939
"1748","Kxd1",0.110759456323358,5.42301655044601,1.04365367137835,0.314462694296702,0.555555720686034,-5.39584864040474
"1955","Tbcel",-0.0767825894085776,4.70524331674038,-0.997806319512788,0.335432351408628,0.57597468620442,-5.39613068816562
"1623","Supv3l1",-0.0918488880389745,5.65463782612136,-1.05279040964022,0.310400426029338,0.552439874886933,-5.39623195009769
"565","Srr",0.100732452311143,4.07867876263972,0.944719873445726,0.360939718032315,0.587815757568557,-5.39631995808291
"739","Lyrm4",0.105773325840037,6.63140917429468,1.0584668302485,0.307896092626067,0.550405799527542,-5.39653148583387
"866","Eif3j2",0.102414264004263,9.26317303197898,0.90477621402275,0.381003221711187,0.587815757568557,-5.3965905251144
